Main Category,Subcategory,Nested category,Rank
Finance & Accounting,Accounting & Bookkeeping,Accounting,1
Finance & Accounting,Accounting & Bookkeeping,Bookkeeping,2
Finance & Accounting,Accounting & Bookkeeping,QuickBooks Online,3
Finance & Accounting,Accounting & Bookkeeping,Financial Accounting,4
Finance & Accounting,Accounting & Bookkeeping,Financial Statement,5
Finance & Accounting,Accounting & Bookkeeping,IFRS,6
Finance & Accounting,Accounting & Bookkeeping,TallyPrime,7
Finance & Accounting,Accounting & Bookkeeping,QuickBooks,8
Finance & Accounting,Accounting & Bookkeeping,Cost Accounting,9
Finance & Accounting,Compliance,Anti-Money Laundering (AML),1
Finance & Accounting,Compliance,Internal Auditing,2
Finance & Accounting,Compliance,Sarbanes-Oxley (SOX),3
Finance & Accounting,Compliance,KYC (Know Your Customer),4
Finance & Accounting,Compliance,Fraud Strategy,5
Finance & Accounting,Compliance,Risk Management,6
Finance & Accounting,Compliance,Compliance Management,7
Finance & Accounting,Compliance,Financial Crime,8
Finance & Accounting,Compliance,Internal Control,9
Finance & Accounting,Cryptocurrency & Blockchain,Cryptocurrency,1
Finance & Accounting,Cryptocurrency & Blockchain,Blockchain,2
Finance & Accounting,Cryptocurrency & Blockchain,Bitcoin,3
Finance & Accounting,Cryptocurrency & Blockchain,Technical Analysis (Crypto),4
Finance & Accounting,Cryptocurrency & Blockchain,Algorithmic Trading,5
Finance & Accounting,Cryptocurrency & Blockchain,NFT (Non-Fungible Tokens),6
Finance & Accounting,Cryptocurrency & Blockchain,Ethereum,7
Finance & Accounting,Cryptocurrency & Blockchain,Metaverse,8
Finance & Accounting,Cryptocurrency & Blockchain,Day Trading,9
Finance & Accounting,Economics,Macroeconomics,1
Finance & Accounting,Economics,Microeconomics,2
Finance & Accounting,Economics,Economics Fundamentals,3
Finance & Accounting,Economics,Game Theory,4
Finance & Accounting,Economics,Behavioral Economics,5
Finance & Accounting,Economics,Stata,6
Finance & Accounting,Economics,Econometrics,7
Finance & Accounting,Economics,Finance Fundamentals,8
Finance & Accounting,Economics,Global Economics,9
Finance & Accounting,Finance,Personal Finance,1
Finance & Accounting,Finance,Corporate Finance,2
Finance & Accounting,Finance,Finance Fundamentals,3
Finance & Accounting,Finance,Investment Banking,4
Finance & Accounting,Finance,Financial Analysis,5
Finance & Accounting,Finance,Behavioral Finance,6
Finance & Accounting,Finance,CFA,7
Finance & Accounting,Finance,Financial Modeling,8
Finance & Accounting,Finance,ChatGPT,9
Finance & Accounting,Finance Cert & Exam Prep,CFA,1
Finance & Accounting,Finance Cert & Exam Prep,ACCA,2
Finance & Accounting,Finance Cert & Exam Prep,Certified Management Accountant (CMA),3
Finance & Accounting,Finance Cert & Exam Prep,Certified Internal Auditor (CIA),4
Finance & Accounting,Finance Cert & Exam Prep,FRM,5
Finance & Accounting,Finance Cert & Exam Prep,CPA,6
Finance & Accounting,Finance Cert & Exam Prep,Quantitative Finance,7
Finance & Accounting,Finance Cert & Exam Prep,Stock Trading,8
Finance & Accounting,Finance Cert & Exam Prep,Finance Fundamentals,9
Finance & Accounting,Financial Modeling & Analysis,Financial Modeling,1
Finance & Accounting,Financial Modeling & Analysis,Financial Analysis,2
Finance & Accounting,Financial Modeling & Analysis,Excel,3
Finance & Accounting,Financial Modeling & Analysis,Investment Banking,4
Finance & Accounting,Financial Modeling & Analysis,Valuation,5
Finance & Accounting,Financial Modeling & Analysis,Corporate Finance,6
Finance & Accounting,Financial Modeling & Analysis,Python,7
Finance & Accounting,Financial Modeling & Analysis,Financial Accounting,8
Finance & Accounting,Financial Modeling & Analysis,Accounting,9
Finance & Accounting,Investing & Trading,Stock Trading,1
Finance & Accounting,Investing & Trading,Investing,2
Finance & Accounting,Investing & Trading,Technical Analysis,3
Finance & Accounting,Investing & Trading,Options Trading,4
Finance & Accounting,Investing & Trading,Day Trading,5
Finance & Accounting,Investing & Trading,Forex Trading,6
Finance & Accounting,Investing & Trading,Algorithmic Trading,7
Finance & Accounting,Investing & Trading,Financial Analysis,8
Finance & Accounting,Investing & Trading,Personal Finance,9
Finance & Accounting,Money Management Tools,QuickBooks Online,1
Finance & Accounting,Money Management Tools,SAP FICO,2
Finance & Accounting,Money Management Tools,Excel,3
Finance & Accounting,Money Management Tools,QuickBooks,4
Finance & Accounting,Money Management Tools,TallyPrime,5
Finance & Accounting,Money Management Tools,Xero,6
Finance & Accounting,Money Management Tools,SAP S/4HANA,7
Finance & Accounting,Money Management Tools,Financial Modeling,8
Finance & Accounting,Money Management Tools,Quicken,9
Finance & Accounting,Taxes,Income Tax,1
Finance & Accounting,Taxes,Tax Preparation,2
Finance & Accounting,Taxes,US Tax,3
Finance & Accounting,Taxes,GST,4
Finance & Accounting,Taxes,Value Added Tax (VAT),5
Finance & Accounting,Taxes,Corporate Tax,6
Finance & Accounting,Taxes,Accounting,7
Finance & Accounting,Taxes,Financial Accounting,8
Finance & Accounting,Taxes,Transfer Pricing,9
Finance & Accounting,Other Finance & Accounting,Medical Coding,1
Finance & Accounting,Other Finance & Accounting,Financial Crime,2
Finance & Accounting,Other Finance & Accounting,Passive Income,3
Finance & Accounting,Other Finance & Accounting,Algorithmic Trading,4
Finance & Accounting,Other Finance & Accounting,Technical Analysis,5
Finance & Accounting,Other Finance & Accounting,Quantitative Finance,6
Finance & Accounting,Other Finance & Accounting,Real Estate Investing,7
Finance & Accounting,Other Finance & Accounting,Actuarial Science,8
Finance & Accounting,Other Finance & Accounting,Insurance,9
IT & Software,IT Certifications,AWS Certified Cloud Practitioner,1
IT & Software,IT Certifications,AWS Certified Solutions Architect - Associate,2
IT & Software,IT Certifications,CompTIA A+,3
IT & Software,IT Certifications,Amazon AWS,4
IT & Software,IT Certifications,Cisco CCNA,5
IT & Software,IT Certifications,CompTIA Security+,6
IT & Software,IT Certifications,Microsoft Azure,7
IT & Software,IT Certifications,AWS Certified Developer - Associate,8
IT & Software,IT Certifications,Microsoft Certified Azure Fundamentals,9
IT & Software,Network & Security,Ethical Hacking,1
IT & Software,Network & Security,Cyber Security,2
IT & Software,Network & Security,Penetration Testing,3
IT & Software,Network & Security,CompTIA Security+,4
IT & Software,Network & Security,Network Security,5
